place_id,lugar_id,place_name,standardize_label,alt_names,place_type,es_parte,latitude,longitude,language,source,uri,country_code,mentioned_as
61,61,Illapata,Illapata,,caserio,,-14.12465,-73.94004,es,Grecia Roque (collaborator GIS data),,PE,['Illapata']
62,62,Pincocalla,Pincocalla,,,,-14.1202,-73.91429,es,Grecia Roque (collaborator GIS data),,PE,"['Pincocalla', 'Pincucalla']"
63,63,Andahuaylas,Andahuaylas,Andaguailas,pueblo,,-13.6564,-73.38995,es,Grecia Roque (collaborator GIS data),,PE,['Andaguailas']
64,64,Apongo,Apongo,,pueblo,12,-14.01324,-73.9325,es,Grecia Roque (collaborator GIS data),,PE,['Apongo']
65,65,Antay,Antay,,pueblo,60,-14.13483,-73.99626,es,Grecia Roque (collaborator GIS data),,PE,['Antay']
66,66,Cangallo,Cangallo,,,,-13.6287,-74.14705,es,Grecia Roque (collaborator GIS data),,PE,['Cangallo']
67,67,Larcay,Larcay,,parroquia,,-14.16877,-73.57284,es,Grecia Roque (collaborator GIS data),,PE,['Larcay']
68,68,Cachihuancaray,Cachihuancaray,,,,-13.78161,-73.5963,es,Grecia Roque (collaborator GIS data),,PE,['Cachihuancaray']
69,69,Carampa,Carampa,Caranpa,,,-13.65015,-74.24187,es,Grecia Roque (collaborator GIS data),,PE,['Caranpa']
71,71,Chaupicancha,Chaupicancha,,caserio,,-14.30401,-74.02446,es,Grecia Roque (collaborator GIS data),,PE,['Chaupicancha']
72,72,Chocorvos,Chocorvos,Chocorbos,pueblo,,-13.82534,-75.25771,es,Grecia Roque (collaborator GIS data),,PE,['Chocorbos']
73,73,Chilcas,Chilcas,,pueblo,,-13.17136,-73.9068,es,Grecia Roque (collaborator GIS data),,PE,['Chilcas']
74,74,Champa,Champa,,caserio,,-14.56465,-73.70179,es,Grecia Roque (collaborator GIS data),,PE,['Champa']
75,75,Cochas,Cochas,,,,-13.05062,-73.88248,es,Grecia Roque (collaborator GIS data),,PE,['Cochas']
76,76,Collay,Collay,,pueblo,,-14.25149,-73.97078,es,Grecia Roque (collaborator GIS data),,PE,['Collay']
77,77,Cordova,Cordova,,,,-14.04112,-75.1849,es,Grecia Roque (collaborator GIS data),,PE,"['Cordoba', 'Cordova']"
78,78,Huambalpa,Huambalpa,,pueblo,,-13.75026,-73.93157,es,Grecia Roque (collaborator GIS data),,PE,['Huambalpa']
79,79,Huancaraylla,Huancaraylla,,,66,-13.71903,-74.10121,es,Grecia Roque (collaborator GIS data),,PE,['Huancaraylla']
