Condición_legitimacy_status,Condición_marital_status,Condición_social_condition
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
ilegitimo,,
ilegitimo,,
legitimo,,
legitimo,,
ilegitimo,,
ilegitimo,,
legitimo,,
ilegitimo,,indio
legitimo,,indio
legitimo,,indio
ilegitimo,,español
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,español
ilegitimo,,español
legitimo,,indio
legitimo,,indio
ilegitimo,,indio
ilegitimo,,indio
ilegitimo,,indio
legitimo,,indio
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
,,
legitimo,,
legitimo,,
ilegitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,indio
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
ilegitimo,,
ilegitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,español
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
ilegitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,español
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,indio
legitimo,,indio
legitimo,,español
legitimo,,español
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,
ilegitimo,,indio
legitimo,,indio
legitimo,,indio
,,indio
ilegitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,mestizo
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,mestizo
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
ilegitimo,,indio
legitimo,,indio
legitimo,,español
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
ilegitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
ilegitimo,,indio
legitimo,,indio
legitimo,,español
legitimo,,español
ilegitimo,,español
legitimo,,indio
ilegitimo,,español
ilegitimo,,español
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,español
legitimo,,indio
legitimo,,indio
ilegitimo,,indio
ilegitimo,,español
legitimo,,indio
legitimo,,indio
legitimo,,indio
ilegitimo,,indio
